major,url,coursedepartment,coursemodeofstudy,education_background
Experimental Psychology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-experimental-psychology-pt,Department of Experimental Psychology,        Part time  ,        6-8 years  
Experimental Psychology MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-experimental-psychology,Department of Experimental Psychology,        Full time  ,        1-3 years  
Experimental Psychology MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-experimental-psychology-pt,Department of Experimental Psychology,        Part time  ,        2-6 years  
Film Aesthetics MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-film-aesthetics,Humanities Interdisciplinary Courses,        Full time  ,        9 months  
Finance DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-finance,Saïd Business School,        Full time  ,        4 years  
Financial Economics MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-financial-economics,"Department of Economics, Saïd Business School",        Full time  ,        9 months  
Financial Strategy PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-financial-strategy,Saïd Business School,        Part time  ,        1 year  
Fine Art DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-fine-art,Ruskin School of Art,        Full time  ,        3-4 years  
Fine Art DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-fine-art-pt,Ruskin School of Art,        Part time  ,        6-8 years  
Fine Art MFA,https://www.ox.ac.uk/admissions/graduate/courses/mfa-fine-art,Ruskin School of Art,        Full time  ,        9 months  
Future Propulsion and Power EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/future-propulsion-power,Department of Engineering Science,        Full time  ,        4 years  
Genomic Medicine and Statistics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-genomic-medicine-and-statistics,Medical Sciences Doctoral Training Centre,        Full time  ,        4 years  
Geography and the Environment DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-geography-and-environment,School of Geography and the Environment,        Full time  ,        3-4 years  
Geography and the Environment DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-geography-and-environment-pt,School of Geography and the Environment,        Part time  ,        6-8 years  
Global and Area Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-global-and-area-studies,Oxford School of Global and Area Studies,        Full time  ,        21 months  
Global and Imperial History MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-global-and-imperial-history,Faculty of History,        Full time  ,        9 months  
Global Business PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-global-business,Saïd Business School,        Part time  ,        1 year  
Global Governance and Diplomacy MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-global-governance-and-diplomacy,Department of International Development,        Full time  ,        9 months  
Global Health Science and Epidemiology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-global-health-science-and-epidemiology,Nuffield Department of Population Health,        Full time  ,        1 year  
Global Healthcare Leadership MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-global-healthcare-leadership,"Saïd Business School, Nuffield Department of Primary Care Health Sciences",        Part time  ,        2 years  
Greek and/or Latin Languages and Literature MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-greek-andor-latin-languages-and-literature,Faculty of Classics,        Full time  ,        21 months  
Greek and/or Latin Languages and Literature MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-greek-andor-latin-languages-and-literature,Faculty of Classics,        Full time  ,        9 months  
Greek and/or Roman History MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-greek-andor-roman-history,Faculty of Classics,        Full time  ,        21 months  
Greek and/or Roman History MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-greek-andor-roman-history,Faculty of Classics,        Full time  ,        9 months  
Health Data Science EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/health-data-science,Department of Computer Science,        Full time  ,        4 years  
Health Data Science (HDR UK/Turing Wellcome) DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-health-data-science,Medical Sciences Doctoral Training Centre,        Full time  ,        4 years  
Health Research PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-health-research,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        1-3 years  
Health Research PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-health-research,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        1-2 years  
Historical Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-historical-studies,Department for Continuing Education,        Part time  ,        1 year  
Historical Studies PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-historical-studies,Department for Continuing Education,        Part time  ,        9 months  
